Date,Close
2017-01-03,62.76
2017-01-04,62.85
2017-01-05,63.19
2017-01-06,63.14
2017-01-09,62.31
2017-01-10,62.12
2017-01-11,63.18
2017-01-12,63.29
2017-01-13,63.23
2017-01-17,63.81
2017-01-18,63.46
2017-01-19,62.7
2017-01-20,62.91
2017-01-23,62.71
2017-01-24,62.78
2017-01-25,62.53
2017-01-26,62.64
2017-01-27,62.97
2017-01-30,63.21
2017-01-31,64.06
2017-02-01,63.09
2017-02-02,63.78
2017-02-03,64.03
2017-02-06,63.82
2017-02-07,63.93
2017-02-08,63.8
2017-02-09,63.42
2017-02-10,63.95
2017-02-13,63.79
2017-02-14,63.27
2017-02-15,63.29
2017-02-16,63.7
2017-02-17,64.11
2017-02-21,64.76
2017-02-22,65.31
2017-02-23,66.01
2017-02-24,67.15
2017-02-27,66.7
2017-02-28,66.97
2017-03-01,66.12
2017-03-02,66.5
2017-03-03,66.52
2017-03-06,66.35
2017-03-07,66.24
2017-03-08,65.15
2017-03-09,64.84
2017-03-10,65.4
2017-03-13,65.81
2017-03-14,65.79
2017-03-15,66.68
2017-03-16,66.01
2017-03-17,66.47
2017-03-20,66.13
2017-03-21,66.98
2017-03-22,67.44
2017-03-23,67.45
2017-03-24,67.79
2017-03-27,67.69
2017-03-28,67.84
2017-03-29,67.39
2017-03-30,67.16
2017-03-31,67.13
2017-04-03,67.15
2017-04-04,67.29
2017-04-05,67.83
2017-04-06,67.62
2017-04-07,67.32
2017-04-10,67.5
2017-04-11,67.39
2017-04-12,67.79
2017-04-13,67.54
2017-04-17,67.74
2017-04-18,67.98
2017-04-19,67.74
2017-04-20,67.44
2017-04-21,67.86
2017-04-24,67.97
2017-04-25,67.86
2017-04-26,67.69
2017-04-27,68.1
2017-04-28,67.83
2017-05-01,67.47
2017-05-02,68.01
2017-05-03,67.9
2017-05-04,68.02
2017-05-05,68.41
2017-05-08,67.73
2017-05-09,67.31
2017-05-10,67.41
2017-05-11,67.55
2017-05-12,68.06
2017-05-15,68.56
2017-05-16,67.86
2017-05-17,68.15
2017-05-18,68.31
2017-05-19,68.72
2017-05-22,69.42
2017-05-23,69.59
2017-05-24,70.2
2017-05-25,70.8
2017-05-26,70.87
2017-05-30,71.21
2017-05-31,71.78
2017-06-01,72.21
2017-06-02,72.67
2017-06-05,72.4
