Date,Close
2017-01-03,31.87
2017-01-04,33.04
2017-01-05,33.05
2017-01-06,33.47
2017-01-09,33.77
2017-01-10,32.73
2017-01-11,34.19
2017-01-12,34.51
2017-01-13,33.98
2017-01-17,32.89
2017-01-18,32.32
2017-01-19,32.25
2017-01-20,34.2
2017-01-23,35.25
2017-01-24,36.85
2017-01-25,36.54
2017-01-26,36.21
2017-01-27,36.51
2017-01-30,35.39
2017-01-31,35.29
2017-02-01,36.63
2017-02-02,35.63
2017-02-03,35.68
2017-02-06,35.49
2017-02-07,34.89
2017-02-08,34.94
2017-02-09,34.49
2017-02-10,35.84
2017-02-13,36.71
2017-02-14,36.32
2017-02-15,34.49
2017-02-16,33.52
2017-02-17,34.11
2017-02-21,33.93
2017-02-22,33.22
2017-02-23,31.82
2017-02-24,31.15
2017-02-27,31.49
2017-02-28,31.42
2017-03-01,32.15
2017-03-02,31.56
2017-03-03,30.95
2017-03-06,30.83
2017-03-07,30.2
2017-03-08,29.62
2017-03-09,29.34
2017-03-10,29.42
2017-03-13,29.42
2017-03-14,28.68
2017-03-15,28.85
2017-03-16,28.71
2017-03-17,29.29
2017-03-20,30.39
2017-03-21,29.54
2017-03-22,29.23
2017-03-23,29.39
2017-03-24,29.18
2017-03-27,29.24
2017-03-28,30.24
2017-03-29,30.86
2017-03-30,29.67
2017-03-31,29.35
2017-04-03,28.42
2017-04-04,29.23
2017-04-05,28.8
2017-04-06,29.66
2017-04-07,29.51
2017-04-10,29.86
2017-04-11,29.65
2017-04-12,28.62
2017-04-13,28.42
2017-04-17,27.51
2017-04-18,27.08
2017-04-19,26.6
2017-04-20,26.58
2017-04-21,26.0
2017-04-24,26.41
2017-04-25,27.34
2017-04-26,27.26
2017-04-27,27.43
2017-04-28,26.74
2017-05-01,26.73
2017-05-02,26.37
2017-05-03,25.51
2017-05-04,27.07
2017-05-05,28.42
2017-05-08,27.76
2017-05-09,27.42
2017-05-10,27.62
2017-05-11,27.2
2017-05-12,26.78
2017-05-15,27.74
2017-05-16,28.07
2017-05-17,27.46
2017-05-18,27.41
2017-05-19,28.56
2017-05-22,28.29
2017-05-23,28.95
2017-05-24,28.44
2017-05-25,28.09
2017-05-26,28.13
2017-05-30,27.91
2017-05-31,26.9
2017-06-01,27.03
2017-06-02,26.4
2017-06-05,26.28
2017-06-06,26.1
2017-06-07,26.22
2017-06-08,26.77
2017-06-09,27.25
2017-06-12,27.36
2017-06-13,28.48
2017-06-14,27.37
2017-06-15,26.75
2017-06-16,27.58
2017-06-19,28.24
2017-06-20,27.18
2017-06-21,26.7
2017-06-22,27.34
2017-06-23,27.45
2017-06-26,27.41
2017-06-27,26.87
2017-06-28,27.17
2017-06-29,27.43
2017-06-30,27.96
2017-07-03,29.22
2017-07-05,28.72
2017-07-06,27.58
2017-07-07,27.89
2017-07-10,29.72
2017-07-11,29.44
2017-07-12,28.92
2017-07-13,29.51
2017-07-14,29.49
2017-07-17,29.27
2017-07-18,29.43
2017-07-19,30.81
2017-07-20,31.13
2017-07-21,31.14
2017-07-24,30.22
2017-07-25,30.17
2017-07-26,28.88
2017-07-27,28.81
2017-07-28,28.99
2017-07-31,29.35
2017-08-01,29.22
2017-08-02,28.72
2017-08-03,30.71
2017-08-04,32.21
2017-08-07,31.93
2017-08-08,31.49
2017-08-09,31.88
2017-08-10,30.76
2017-08-11,30.51
2017-08-14,30.22
2017-08-15,30.3
2017-08-16,30.21
2017-08-17,29.16
2017-08-18,29.03
2017-08-21,29.18
2017-08-22,29.24
2017-08-23,28.93
2017-08-24,29.03
2017-08-25,28.98
2017-08-28,29.03
2017-08-29,28.83
2017-08-30,28.94
2017-08-31,28.99
2017-09-01,29.98
2017-09-05,29.08
2017-09-06,31.2
2017-09-07,31.68
2017-09-08,32.04
2017-09-11,32.31
2017-09-12,32.19
2017-09-13,32.1
2017-09-14,32.36
2017-09-15,32.89
2017-09-18,35.1
2017-09-19,35.54
2017-09-20,35.19
2017-09-21,35.96
2017-09-22,35.23
2017-09-25,35.91
2017-09-26,34.88
2017-09-27,35.09
2017-09-28,34.84
2017-09-29,35.16
2017-10-02,35.4
2017-10-03,35.39
2017-10-04,35.1
2017-10-05,35.03
2017-10-06,34.2
2017-10-09,34.44
2017-10-10,34.48
2017-10-11,34.91
2017-10-12,35.84
2017-10-13,36.8
2017-10-16,36.89
2017-10-17,37.0
2017-10-18,36.83
2017-10-19,36.33
2017-10-20,36.99
2017-10-23,36.31
2017-10-24,37.61
2017-10-25,37.68
2017-10-26,37.45
2017-10-27,37.11
2017-10-30,37.37
2017-10-31,37.98
2017-11-01,38.04
2017-11-02,38.55
2017-11-03,38.6
2017-11-06,39.21
2017-11-07,36.89
2017-11-08,37.78
2017-11-09,37.14
2017-11-10,37.28
2017-11-13,37.37
2017-11-14,35.52
2017-11-15,35.32
2017-11-16,36.17
2017-11-17,35.48
2017-11-20,35.78
2017-11-21,36.45
2017-11-22,36.31
2017-11-24,35.94
2017-11-27,35.92
2017-11-28,36.45
2017-11-29,36.85
2017-11-30,37.47
2017-12-01,37.59
2017-12-04,36.9
2017-12-05,37.36
2017-12-06,36.55
2017-12-07,38.22
2017-12-08,39.26
2017-12-11,39.4
2017-12-12,40.6
2017-12-13,41.26
2017-12-14,41.02
2017-12-15,41.09
2017-12-18,40.93
2017-12-19,41.2
2017-12-20,40.88
2017-12-21,41.25
2017-12-22,41.71
2017-12-26,42.85
2017-12-27,43.07
2017-12-28,42.61
2017-12-29,42.54
2018-01-02,43.14
2018-01-03,43.15
2018-01-04,43.6
2018-01-05,43.67
2018-01-08,42.72
2018-01-09,42.47
2018-01-10,42.42
2018-01-11,43.72
2018-01-12,43.52
2018-01-16,40.71
2018-01-17,39.56
2018-01-18,40.08
2018-01-19,40.39
2018-01-22,40.84
2018-01-23,41.3
2018-01-24,41.64
2018-01-25,40.41
2018-01-26,42.13
2018-01-29,42.1
2018-01-30,42.0
2018-01-31,42.44
2018-02-01,41.57
2018-02-02,39.91
2018-02-05,38.2
2018-02-06,39.04
2018-02-07,39.48
2018-02-08,37.46
2018-02-09,37.62
2018-02-12,38.44
2018-02-13,39.0
2018-02-14,39.66
2018-02-15,40.89
2018-02-16,40.36
2018-02-20,41.82
2018-02-21,42.63
2018-02-22,42.97
2018-02-23,44.12
2018-02-26,42.67
2018-02-27,41.77
2018-02-28,41.24
2018-03-01,41.65
2018-03-02,41.87
2018-03-05,44.56
2018-03-06,43.2
2018-03-07,41.91
2018-03-08,40.89
2018-03-09,41.5
2018-03-12,41.88
2018-03-13,40.38
2018-03-14,40.31
2018-03-15,38.99
2018-03-16,38.33
2018-03-19,37.69
2018-03-20,37.95
2018-03-21,38.66
2018-03-22,37.27
2018-03-23,36.92
2018-03-26,37.35
2018-03-27,37.5
2018-03-28,36.49
2018-03-29,37.73
2018-04-02,36.62
2018-04-03,36.98
2018-04-04,37.11
2018-04-05,38.58
2018-04-06,36.83
2018-04-09,37.16
2018-04-10,37.27
2018-04-11,37.41
2018-04-12,38.2
2018-04-13,38.43
2018-04-16,38.45
2018-04-17,39.08
2018-04-18,40.02
2018-04-19,39.64
2018-04-20,38.72
2018-04-23,39.0
2018-04-24,38.94
2018-04-25,39.61
2018-04-26,39.82
