Date,Close
2017-01-03,22.34
2017-01-04,22.37
2017-01-05,22.64
2017-01-06,22.89
2017-01-09,22.09
2017-01-10,22.17
2017-01-11,22.06
2017-01-12,22.27
2017-01-13,21.92
2017-01-17,21.71
2017-01-18,21.67
2017-01-19,22.48
2017-01-20,22.13
2017-01-23,22.18
2017-01-24,22.97
2017-01-25,22.93
2017-01-26,23.16
2017-01-27,22.55
2017-01-30,21.26
2017-01-31,21.48
2017-02-01,20.77
2017-02-02,21.45
2017-02-03,21.43
2017-02-06,23.73
2017-02-07,23.57
2017-02-08,23.6
2017-02-09,24.23
2017-02-10,24.07
2017-02-13,23.95
2017-02-14,24.24
2017-02-15,23.89
2017-02-16,23.12
2017-02-17,23.11
2017-02-21,22.93
2017-02-22,22.6
2017-02-23,22.53
2017-02-24,22.45
2017-02-27,22.17
2017-02-28,21.9
2017-03-01,22.61
2017-03-02,22.36
2017-03-03,22.36
2017-03-06,23.15
2017-03-07,22.93
2017-03-08,22.53
2017-03-09,22.87
2017-03-10,22.71
2017-03-13,22.87
2017-03-14,22.31
2017-03-15,22.66
2017-03-16,22.27
2017-03-17,22.35
2017-03-20,22.7
2017-03-21,22.62
2017-03-22,22.25
2017-03-23,22.85
2017-03-24,23.18
2017-03-27,23.2
2017-03-28,23.55
2017-03-29,24.14
2017-03-30,23.24
2017-03-31,23.91
2017-04-03,24.01
2017-04-04,24.58
2017-04-05,24.44
2017-04-06,24.99
2017-04-07,24.41
2017-04-10,24.63
2017-04-11,24.62
2017-04-12,24.45
2017-04-13,24.0
2017-04-17,24.2
2017-04-18,24.11
2017-04-19,23.99
2017-04-20,24.47
2017-04-21,24.08
2017-04-24,23.73
2017-04-25,24.41
2017-04-26,24.31
2017-04-27,24.12
2017-04-28,23.24
2017-05-01,23.8
2017-05-02,24.13
2017-05-03,24.25
2017-05-04,23.48
2017-05-05,24.17
2017-05-08,23.71
2017-05-09,23.82
2017-05-10,24.88
2017-05-11,24.81
2017-05-12,24.34
2017-05-15,24.26
2017-05-16,23.82
2017-05-17,23.22
2017-05-18,23.07
2017-05-19,23.48
2017-05-22,23.48
2017-05-23,23.55
2017-05-24,22.82
2017-05-25,22.85
2017-05-26,22.96
2017-05-30,22.46
2017-05-31,22.19
2017-06-01,22.15
2017-06-02,21.59
2017-06-05,21.5
2017-06-06,22.0
2017-06-07,22.1
2017-06-08,22.32
2017-06-09,22.88
2017-06-12,22.78
2017-06-13,23.37
2017-06-14,23.1
2017-06-15,23.34
2017-06-16,23.12
2017-06-19,22.59
2017-06-20,22.4
2017-06-21,22.35
2017-06-22,22.86
2017-06-23,23.74
2017-06-26,24.3
2017-06-27,24.5
2017-06-28,24.48
2017-06-29,24.82
2017-06-30,25.08
2017-07-03,25.13
2017-07-05,24.9
2017-07-06,24.26
2017-07-07,24.26
2017-07-10,24.67
2017-07-11,24.89
2017-07-12,25.09
2017-07-13,25.42
2017-07-14,25.35
2017-07-17,25.43
2017-07-18,24.82
2017-07-19,25.17
2017-07-20,25.0
2017-07-21,24.98
2017-07-24,24.78
2017-07-25,25.12
2017-07-26,25.16
2017-07-27,25.18
2017-07-28,25.5
2017-07-31,24.87
2017-08-01,25.36
2017-08-02,24.57
2017-08-03,24.57
2017-08-04,24.71
2017-08-07,24.37
2017-08-08,24.57
2017-08-09,24.83
2017-08-10,24.58
2017-08-11,24.61
2017-08-14,24.45
2017-08-15,24.59
2017-08-16,24.54
2017-08-17,24.53
2017-08-18,24.39
2017-08-21,24.5
2017-08-22,24.98
2017-08-23,24.9
2017-08-24,24.98
2017-08-25,24.85
2017-08-28,24.76
2017-08-29,24.87
2017-08-30,24.79
2017-08-31,25.55
2017-09-01,26.87
2017-09-05,26.96
2017-09-06,26.92
2017-09-07,26.64
2017-09-08,25.97
2017-09-11,26.03
2017-09-12,26.33
2017-09-13,26.41
2017-09-14,26.74
2017-09-15,26.81
2017-09-18,26.52
2017-09-19,26.21
2017-09-20,26.29
2017-09-21,26.41
2017-09-22,26.58
2017-09-25,26.8
2017-09-26,26.87
2017-09-27,26.83
2017-09-28,26.82
2017-09-29,26.75
2017-10-02,26.77
2017-10-03,26.58
2017-10-04,26.43
2017-10-05,26.39
2017-10-06,25.71
2017-10-09,25.44
2017-10-10,25.36
2017-10-11,25.51
2017-10-12,26.0
2017-10-13,26.0
2017-10-16,25.69
2017-10-17,25.88
2017-10-18,25.62
2017-10-19,25.48
2017-10-20,25.53
2017-10-23,25.23
2017-10-24,24.92
2017-10-25,24.42
2017-10-26,24.65
2017-10-27,26.75
2017-10-30,27.19
2017-10-31,27.7
2017-11-01,27.91
2017-11-02,28.26
2017-11-03,28.23
2017-11-06,28.78
2017-11-07,27.84
2017-11-08,27.82
2017-11-09,28.56
2017-11-10,28.99
2017-11-13,29.06
2017-11-14,28.46
2017-11-15,28.45
2017-11-16,28.74
2017-11-17,29.39
2017-11-20,29.01
2017-11-21,29.07
2017-11-22,29.44
2017-11-24,29.25
2017-11-27,29.14
2017-11-28,29.1
2017-11-29,29.17
2017-11-30,28.95
2017-12-01,28.68
2017-12-04,28.57
2017-12-05,28.33
2017-12-06,28.05
2017-12-07,27.78
2017-12-08,27.75
2017-12-11,28.33
2017-12-12,27.6
2017-12-13,27.76
2017-12-14,27.26
2017-12-15,26.64
2017-12-18,27.09
2017-12-19,26.82
2017-12-20,26.97
2017-12-21,27.72
2017-12-22,27.59
2017-12-26,28.1
2017-12-27,28.13
2017-12-28,28.54
2017-12-29,28.6
2018-01-02,28.9
2018-01-03,29.03
2018-01-04,28.91
2018-01-05,28.76
2018-01-08,28.91
2018-01-09,29.12
2018-01-10,27.96
2018-01-11,28.4
2018-01-12,28.88
2018-01-16,28.03
2018-01-17,27.98
2018-01-18,27.57
2018-01-19,27.51
2018-01-22,28.11
2018-01-23,28.36
2018-01-24,28.11
2018-01-25,27.62
2018-01-26,27.83
2018-01-29,27.06
2018-01-30,26.69
2018-01-31,26.35
2018-02-01,26.2
2018-02-02,25.19
2018-02-05,24.08
2018-02-06,24.6
2018-02-07,23.37
2018-02-08,23.01
2018-02-09,23.64
2018-02-12,23.84
2018-02-13,23.73
2018-02-14,24.0
2018-02-15,24.05
2018-02-16,23.89
2018-02-20,23.92
2018-02-21,23.25
2018-02-22,23.88
2018-02-23,24.46
2018-02-26,24.94
2018-02-27,24.24
2018-02-28,24.16
2018-03-01,24.92
2018-03-02,25.26
2018-03-05,25.31
2018-03-06,25.19
2018-03-07,25.41
2018-03-08,24.95
2018-03-09,25.52
2018-03-12,25.52
2018-03-13,25.64
